cluster,label,S_hot,S_shared,S_moderate,S_archival,s_star,phi_shared,n
0,Archival,0.000000,0.000000,0.102564,0.237372,0.237372,0.000000,584
1,Archival,0.000447,0.000506,0.021178,0.598100,0.598100,0.000506,751
2,Archival,0.000048,0.000000,0.043137,0.410128,0.410128,0.000000,884
3,Shared,0.903457,0.903464,0.000010,0.000000,0.903464,0.903464,983
4,Archival,0.000024,0.000000,0.059804,0.338692,0.338692,0.000000,1626
5,Archival,0.094465,0.094468,0.000105,0.197462,0.197462,0.094468,519
6,Archival,0.001921,0.001934,0.005520,0.166920,0.166920,0.001934,1576
7,Hot,1.000000,1.000000,0.000009,0.000000,1.000000,1.000000,535
8,Archival,0.000000,0.000000,0.059804,0.433333,0.433333,0.000000,660
9,Archival,0.187190,0.187195,0.000050,0.262579,0.262579,0.187195,547
10,Moderate,0.000920,0.000928,0.010181,0.002411,0.010181,0.000928,8887
11,Archival,0.000022,0.000000,0.059804,0.338692,0.338692,0.000000,309
12,Archival,0.001336,0.001336,0.007734,0.409716,0.409716,0.001336,1762
13,Archival,0.000000,0.000235,0.059804,0.394085,0.394085,0.000235,1680
14,Hot,0.413327,0.413302,0.000021,0.000000,0.413327,0.413302,493
15,Hot,0.699192,0.699184,0.000012,0.006910,0.699192,0.699184,540
16,Hot,0.611111,0.611085,0.000014,0.323442,0.611111,0.611085,450
17,Archival,0.000010,0.000371,0.059804,0.338692,0.338692,0.000371,3503
18,Moderate,0.000142,0.000142,0.519231,0.000000,0.519231,0.000142,258
19,Archival,0.000000,0.000442,0.059804,0.723297,0.723297,0.000442,2260
20,Archival,0.000000,0.000000,0.059804,0.422988,0.422988,0.000000,295
21,Moderate,0.000130,0.000185,0.069231,0.063057,0.069231,0.000185,1103
22,Archival,0.000108,0.000000,0.043137,0.654455,0.654455,0.000000,933
23,Archival,0.000028,0.000282,0.043137,0.410128,0.410128,0.000282,8458
24,Archival,0.000000,0.000000,0.059804,0.654256,0.654256,0.000000,643
25,Archival,0.000000,0.000000,0.043137,0.504037,0.504037,0.000000,337
26,Hot,0.546955,0.546942,0.000016,0.000000,0.546955,0.546942,374
27,Archival,0.000000,0.000448,0.059804,0.394884,0.394884,0.000448,662
28,Archival,0.000000,0.000000,0.059804,0.701653,0.701653,0.000000,1531
29,Archival,0.000048,0.000000,0.059804,0.338692,0.338692,0.000000,440
30,Hot,0.319489,0.319455,0.000027,0.000000,0.319489,0.319455,591
31,Archival,0.000000,0.000000,0.059804,0.726782,0.726782,0.000000,1816
32,Archival,0.000000,0.000286,0.059804,0.432600,0.432600,0.000286,8282
33,Archival,0.000000,0.000000,0.059804,0.462755,0.462755,0.000000,314
34,Archival,0.000089,0.000353,0.043137,0.654390,0.654390,0.000353,1467
35,Archival,0.000000,0.000000,0.043137,0.648517,0.648517,0.000000,263
36,Archival,0.000080,0.000000,0.043137,0.410128,0.410128,0.000000,443
37,Shared,0.674401,0.674419,0.000012,0.218226,0.674419,0.674419,604
38,Archival,0.000052,0.000131,0.102564,0.176489,0.176489,0.000131,529
39,Moderate,0.000000,0.000103,0.583333,0.454305,0.583333,0.000103,352
40,Archival,0.000007,0.000560,0.043137,0.410128,0.410128,0.000560,1233
41,Archival,0.000236,0.000227,0.109804,0.115831,0.115831,0.000227,556
42,Archival,0.000000,0.000000,0.043137,0.546442,0.546442,0.000000,399
43,Archival,0.000000,0.000588,0.043137,0.621094,0.621094,0.000588,888
44,Archival,0.000089,0.000000,0.043137,0.660164,0.660164,0.000000,344
45,Archival,0.000000,0.000000,0.102564,0.673696,0.673696,0.000000,277
46,Archival,0.000000,0.000000,0.059804,0.374828,0.374828,0.000000,1248
47,Archival,0.000000,0.000000,0.059804,0.409047,0.409047,0.000000,1797
48,Archival,0.000000,0.000309,0.059804,0.684990,0.684990,0.000309,8032
49,Archival,0.000000,0.000000,0.059804,0.340138,0.340138,0.000000,311
50,Archival,0.000987,0.000987,0.010584,0.219806,0.219806,0.000987,1819
