cluster,label,s_star,med_k,mad_k,strong_fit,R_min,R_max,R_i,n
0,Archival,0.237372,0.410128,0.173058,0,0,1,0,584
1,Archival,0.598100,0.410128,0.173058,1,0,1,1,751
2,Archival,0.410128,0.410128,0.173058,0,0,1,0,884
3,Shared,0.903464,0.496725,0.257975,1,3,3,3,983
4,Archival,0.338692,0.410128,0.173058,0,0,1,0,1626
5,Archival,0.197462,0.410128,0.173058,0,0,1,0,519
6,Archival,0.166920,0.410128,0.173058,0,0,1,0,1576
7,Hot,1.000000,0.092139,0.077161,1,4,5,5,535
8,Archival,0.433333,0.410128,0.173058,0,0,1,0,660
9,Archival,0.262579,0.410128,0.173058,0,0,1,0,547
10,Moderate,0.010181,0.519231,0.480769,0,2,3,2,8887
11,Archival,0.338692,0.410128,0.173058,0,0,1,0,309
12,Archival,0.409716,0.410128,0.173058,0,0,1,0,1762
13,Archival,0.394085,0.410128,0.173058,0,0,1,0,1680
14,Hot,0.413327,0.092139,0.077161,1,4,5,5,493
15,Hot,0.699192,0.092139,0.077161,1,4,5,5,540
16,Hot,0.611111,0.092139,0.077161,1,4,5,5,450
17,Archival,0.338692,0.410128,0.173058,0,0,1,0,3503
18,Moderate,0.519231,0.519231,0.480769,0,2,3,2,258
19,Archival,0.723297,0.410128,0.173058,1,0,1,1,2260
20,Archival,0.422988,0.410128,0.173058,0,0,1,0,295
21,Moderate,0.069231,0.519231,0.480769,0,2,3,2,1103
22,Archival,0.654455,0.410128,0.173058,1,0,1,1,933
23,Archival,0.410128,0.410128,0.173058,0,0,1,0,8458
24,Archival,0.654256,0.410128,0.173058,1,0,1,1,643
25,Archival,0.504037,0.410128,0.173058,0,0,1,0,337
26,Hot,0.546955,0.092139,0.077161,1,4,5,5,374
27,Archival,0.394884,0.410128,0.173058,0,0,1,0,662
28,Archival,0.701653,0.410128,0.173058,1,0,1,1,1531
29,Archival,0.338692,0.410128,0.173058,0,0,1,0,440
30,Hot,0.319489,0.092139,0.077161,1,4,5,5,591
31,Archival,0.726782,0.410128,0.173058,1,0,1,1,1816
32,Archival,0.432600,0.410128,0.173058,0,0,1,0,8282
33,Archival,0.462755,0.410128,0.173058,0,0,1,0,314
